accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.5429314970970154,0.5511332750320435,0.8514271378517151,0.7312060594558716,0.5550082325935364,0.6434599161148071,0.6411427855491638,0.6724056601524353,0.8151814937591553,0.6861110925674438,9.999999747378752e-05
0.5686614513397217,0.6033267378807068,0.7757316827774048,0.755687952041626,0.5726600885391235,0.6708860993385315,0.6785087585449219,0.6553722023963928,0.8469387888908386,0.6916666626930237,9.999999747378752e-05
0.5782017707824707,0.6152593493461609,0.7724259495735168,0.7656335234642029,0.5779967308044434,0.6687763929367065,0.684502899646759,0.6288037300109863,0.8263665437698364,0.7138888835906982,9.999999747378752e-05
0.6140503287315369,0.6687328815460205,0.7036800980567932,0.7911158204078674,0.6141214966773987,0.6793248653411865,0.7124390602111816,0.6132017970085144,0.8513513803482056,0.699999988079071,9.999999747378752e-05
0.6175194978713989,0.6644686460494995,0.7159956097602844,0.7952254414558411,0.6153530478477478,0.7194092869758606,0.7219176292419434,0.5762853026390076,0.8328445553779602,0.7888888716697693,9.999999747378752e-05
0.6394912004470825,0.6835242509841919,0.6912739276885986,0.7973986864089966,0.6543514132499695,0.7320675253868103,0.728533148765564,0.5703842043876648,0.8456973433494568,0.7916666865348816,9.999999747378752e-06
0.6498988270759583,0.6984026432037354,0.6791823506355286,0.8120223879814148,0.6543514132499695,0.7130801677703857,0.732736349105835,0.5841375589370728,0.8478260636329651,0.7583333253860474,9.999999747378752e-06
0.6579936146736145,0.7209407687187195,0.6512165069580078,0.8244432806968689,0.6535303592681885,0.7257384061813354,0.7372198104858398,0.5824897885322571,0.8616352081298828,0.7611111402511597,4.999999873689376e-06
0.6496096849441528,0.7096954584121704,0.6631101369857788,0.8194154500961304,0.6444991827011108,0.7215189933776855,0.7412037253379822,0.5686708688735962,0.8433734774589539,0.7777777910232544,2.499999936844688e-06
0.6504769921302795,0.7131502628326416,0.6580808758735657,0.8187013268470764,0.6469622254371643,0.7215189933776855,0.7420687079429626,0.5701413750648499,0.8454545736312866,0.7749999761581421,2.499999936844688e-06
