epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate,stage
1,0.5134431719779968,0.5367046594619751,1.9437105655670166,0.7255842089653015,0.49712643027305603,0.6308016777038574,0.6299829483032227,1.6580098867416382,0.7828746438026428,0.7111111283302307,9.999999747378752e-05,frozen
2,0.5793582201004028,0.621913731098175,1.7289133071899414,0.7757167220115662,0.5665024518966675,0.6666666865348816,0.6729775667190552,1.5526248216629028,0.802395224571228,0.7444444298744202,9.999999747378752e-05,frozen
3,0.5886093974113464,0.6478133797645569,1.6310598850250244,0.777230441570282,0.5829228162765503,0.6856539845466614,0.6889985203742981,1.469454050064087,0.8168168067932129,0.7555555701255798,9.999999747378752e-05,frozen
4,0.6071118712425232,0.6629847288131714,1.5480124950408936,0.7918699383735657,0.5997536778450012,0.7215189933776855,0.7090277671813965,1.3634239435195923,0.8048128485679626,0.8361111283302307,9.999999747378752e-05,frozen
5,0.6380456686019897,0.6979416012763977,1.4533326625823975,0.8051546216011047,0.6412150859832764,0.7088607549667358,0.7148879170417786,1.3126720190048218,0.8100558519363403,0.8055555820465088,9.999999747378752e-05,frozen
6,0.64324951171875,0.7011640667915344,1.3995507955551147,0.8101134896278381,0.6444991827011108,0.7194092869758606,0.7052388191223145,1.2586148977279663,0.8042895197868347,0.8333333134651184,9.999999747378752e-05,frozen
7,0.6444059014320374,0.7052233815193176,1.3462679386138916,0.816369354724884,0.6387520432472229,0.7278481125831604,0.727314829826355,1.2102822065353394,0.8130081295967102,0.8333333134651184,9.999999747378752e-05,frozen
8,0.6660884618759155,0.7235915660858154,1.287359356880188,0.8272866606712341,0.6646141409873962,0.7172995805740356,0.7363181710243225,1.1963931322097778,0.8445122241973877,0.769444465637207,9.999999747378752e-05,frozen
9,0.6721596121788025,0.7279276251792908,1.2633469104766846,0.8255000114440918,0.6777504086494446,0.7383966445922852,0.7595760226249695,1.1611251831054688,0.8470588326454163,0.800000011920929,9.999999747378752e-06,fine_tuning
10,0.6834345459938049,0.7519257068634033,1.2360117435455322,0.8391502499580383,0.681034505367279,0.74472576379776,0.7596978545188904,1.1615484952926636,0.8567163944244385,0.7972221970558167,9.999999747378752e-06,fine_tuning
11,0.6860364079475403,0.7716366052627563,1.2075310945510864,0.8465092182159424,0.6769294142723083,0.7616033554077148,0.774573564529419,1.1274563074111938,0.8538681864738464,0.8277778029441833,9.999999747378752e-06,fine_tuning
12,0.7019369602203369,0.7798923254013062,1.1960328817367554,0.8503740429878235,0.6999179124832153,0.7573839426040649,0.7839180827140808,1.133435606956482,0.8746177554130554,0.7944444417953491,9.999999747378752e-06,fine_tuning
13,0.7178375124931335,0.79578697681427,1.175528645515442,0.8585461974143982,0.7175697684288025,0.7827004194259644,0.7987695336341858,1.095201015472412,0.8660968542098999,0.8444444537162781,9.999999747378752e-06,fine_tuning
14,0.7233304381370544,0.8000367879867554,1.1684589385986328,0.8648248910903931,0.7196223139762878,0.7827004194259644,0.8012304902076721,1.1019657850265503,0.8790560364723206,0.8277778029441833,9.999999747378752e-06,fine_tuning
15,0.7337380647659302,0.8181781768798828,1.1401150226593018,0.8718703985214233,0.7290640473365784,0.7890295386314392,0.8122197389602661,1.0780457258224487,0.8823529481887817,0.8333333134651184,9.999999747378752e-06,fine_tuning
16,0.7522405385971069,0.8272280097007751,1.1249712705612183,0.8804818987846375,0.75,0.7827004194259644,0.8184210062026978,1.0801618099212646,0.890577495098114,0.8138889074325562,9.999999747378752e-06,fine_tuning
17,0.7481931447982788,0.8384594321250916,1.1037546396255493,0.8789346218109131,0.7450739145278931,0.8206751346588135,0.8239644169807434,1.0347126722335815,0.8647214770317078,0.9055555462837219,9.999999747378752e-06,fine_tuning
18,0.7539751529693604,0.8396607041358948,1.1023480892181396,0.8834059238433838,0.7495895028114319,0.7827004194259644,0.8234040141105652,1.067833662033081,0.8858858942985535,0.8194444179534912,9.999999747378752e-06,fine_tuning
19,0.7626481652259827,0.8558882474899292,1.0733163356781006,0.8975874185562134,0.7483579516410828,0.8037974834442139,0.8281432390213013,1.0437214374542236,0.8847262263298035,0.8527777791023254,9.999999747378752e-06,fine_tuning
20,0.7597571611404419,0.8551450967788696,1.0671143531799316,0.8943489193916321,0.7471264600753784,0.8101266026496887,0.8316764235496521,1.0316004753112793,0.8813559412956238,0.8666666746139526,9.999999747378752e-06,fine_tuning
